Date,Open,High,Low,Close,Adj Close,Volume
2020-06-05,54400,55900,54000,55500,53212.71094,22743629
2020-06-08,56400,56500,54700,54900,52637.4375,25634965
2020-06-09,55800,56500,54400,55500,53212.71094,23998831
2020-06-10,55100,55900,54900,55400,53116.83594,16742493
2020-06-11,54500,55100,53200,54300,52062.16797,33815123
2020-06-12,52100,52800,51500,52300,50144.58984,26976019
2020-06-15,51400,52000,49900,49900,47843.5,28772921
2020-06-16,51200,52100,50600,52100,49952.83203,21808375
2020-06-17,52100,52900,51300,52200,50048.71094,26672595
2020-06-18,52200,52300,51600,52300,50144.58984,15982926
2020-06-19,52600,52900,51600,52900,50719.86328,18157985
2020-06-22,52000,52600,51800,52000,49856.95313,13801350
2020-06-23,52500,52800,51100,51400,49281.67969,18086152
2020-06-24,51900,53900,51600,52900,50719.86328,24519552
2020-06-25,52100,53000,51900,51900,49761.07813,18541624
2020-06-26,52800,53900,52200,53300,51103.38281,21575360
2020-06-29,52500,53200,52000,52400,50576.37891,17776925
2020-06-30,53900,53900,52800,52800,50962.46094,21157172
2020-07-01,53400,53600,52400,52600,50769.41797,16706143
2020-07-02,52100,52900,52100,52900,51058.98047,14142583
2020-07-03,53000,53600,52700,53600,51734.61719,11887868
2020-07-06,54000,55000,53800,55000,53085.89453,19856623
2020-07-07,55800,55900,53400,53400,51541.57813,30760032
2020-07-08,53600,53900,52900,53000,51155.49609,19664652
2020-07-09,53200,53600,52800,52800,50962.46094,17054850
2020-07-10,53100,53200,52300,52700,50865.94141,13714746
2020-07-13,53300,53800,53100,53400,51541.57813,12240188
2020-07-14,53700,53800,53200,53800,51927.65625,14269484
2020-07-15,54400,55000,54300,54700,52796.33594,24051450
2020-07-16,54800,54800,53800,53800,51927.65625,16779127
2020-07-17,54200,54700,54100,54400,52506.77734,10096174
2020-07-20,54800,54800,54000,54200,52313.73828,10507530
2020-07-21,55200,55400,54800,55300,53375.45313,18297260
2020-07-22,55300,55500,54700,54700,52796.33594,12885057
2020-07-23,54700,54700,53800,54100,52217.21484,16214932
2020-07-24,54000,54400,53700,54200,52313.73828,10994535
2020-07-27,54300,55700,54300,55600,53665.01172,21054421
2020-07-28,57000,58800,56400,58600,56560.60547,48431566
2020-07-29,60300,60400,58600,59000,56946.6875,36476611
2020-07-30,59700,60100,59000,59000,56946.6875,19285354
2020-07-31,59500,59600,57700,57900,55884.96875,21943345
2020-08-03,57800,57900,56700,56800,54823.25,21158940
2020-08-04,57200,58100,57000,57300,55305.85156,19419694
2020-08-05,57300,57500,56300,56900,54919.77344,17739706
